,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Norway_result_value
7,564,8774,1024,1998-06-27,1998,France,Marseille,Stade Vélodrome,55000.0,Round of 16,Italy,ITA,Norway,NOR,1,0,0,0,1,0,Italy,1.0,0.0,0.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
1,470,3055,337,1994-06-19,1994,United States,Washington,RFK Stadium,52395.0,Groups,Norway,NOR,Mexico,MEX,0,0,1,0,1,0,Norway,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
0,39,1179,206,1938-06-05,1938,France,Marseille,Stade Vélodrome,19000.0,Groups,Italy,ITA,Norway,NOR,0,0,2,1,2,1,Italy,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
